,open,high,low,last,close,volume,date,symbol,exchange
180,10.48,10.48,10.32,10.33,10.61,392503.0,2020-11-19T02:00:00+0000,PCRFY,IEXG
181,32.75,32.75,31.25,31.8,32.1,143135.0,2020-11-19T02:00:00+0000,SFTBY,IEXG
182,31.9662,31.9662,31.9662,31.9662,31.9662,0.0,2020-11-19T02:00:00+0000,TYHOF,IEXG
183,6.12,6.16,6.09,6.1,6.21,1577474.0,2020-11-19T02:00:00+0000,SMFG,IEXG
184,11.69,11.69,11.69,11.69,11.69,440.0,2020-11-19T02:00:00+0000,SMTOF,IEXG
185,88.86,89.69,88.24,88.25,89.71,746543.0,2020-11-19T02:00:00+0000,SNE,IEXG
186,141.85,143.16,141.27,141.83,142.74,228727.0,2020-11-19T02:00:00+0000,TM,IEXG
187,4.565,4.61,4.56,4.575,4.62,25672.0,2020-11-18T20:00:00+0000,MUFG,IEXG
188,88.775,89.67,88.71,88.945,89.71,32394.0,2020-11-18T20:00:00+0000,SNE,IEXG
189,141.78,143.145,141.48,142.83,142.74,17437.0,2020-11-18T20:00:00+0000,TM,IEXG
190,6.12,6.165,6.12,6.135,6.21,16615.0,2020-11-18T19:00:00+0000,SMFG,IEXG
191,88.775,89.67,88.735,89.03,89.71,26958.0,2020-11-18T19:00:00+0000,SNE,IEXG
192,141.78,142.77,141.48,142.77,142.74,9657.0,2020-11-18T18:00:00+0000,TM,IEXG
193,4.565,4.61,4.56,4.595,4.62,7777.0,2020-11-18T17:00:00+0000,MUFG,IEXG
194,6.12,6.165,6.12,6.145,6.21,12028.0,2020-11-18T17:00:00+0000,SMFG,IEXG
195,88.775,89.67,88.735,89.47,89.71,17047.0,2020-11-18T17:00:00+0000,SNE,IEXG
196,141.78,142.33,141.48,142.25,142.74,2097.0,2020-11-18T17:00:00+0000,TM,IEXG
197,4.565,4.61,4.56,4.605,4.62,4877.0,2020-11-18T16:00:00+0000,MUFG,IEXG
198,6.12,6.165,6.12,6.135,6.21,7272.0,2020-11-18T16:00:00+0000,SMFG,IEXG
199,28.59,28.825,28.59,28.815,29.19,2821.0,2020-11-18T15:00:00+0000,HMC,IEXG
200,6.12,6.165,6.12,6.145,6.21,4867.0,2020-11-18T15:00:00+0000,SMFG,IEXG
201,18.44,18.49,18.38,18.4,18.52,326639.0,2020-11-18T02:00:00+0000,CAJ,IEXG
202,12.15,12.15,12.15,12.15,12.15,0.0,2020-11-18T02:00:00+0000,CHUEF,IEXG
203,76.8,80.2865,76.8,79.07,78.2325,27880.0,2020-11-18T02:00:00+0000,TOELY,IEXG
204,31.9662,31.9662,31.9662,31.9662,31.9662,0.0,2020-11-18T02:00:00+0000,TYHOF,IEXG
205,29.16,29.38,29.1,29.19,29.48,1040977.0,2020-11-18T02:00:00+0000,HMC,IEXG
206,77.289,77.289,75.62,76.105,74.67,41599.0,2020-11-18T02:00:00+0000,HTHIY,IEXG
207,60.65,60.65,59.305,59.5,58.84,2202.0,2020-11-18T02:00:00+0000,MARUY,IEXG
208,2.72,2.765,2.72,2.75,2.75,404249.0,2020-11-18T02:00:00+0000,MFG,IEXG
209,4.54,4.64,4.54,4.62,4.53,2466560.0,2020-11-18T02:00:00+0000,MUFG,IEXG
210,10.4,10.8,10.4,10.61,10.68,185892.0,2020-11-18T02:00:00+0000,PCRFY,IEXG
211,32.7,32.7,31.93,32.1,32.39,192438.0,2020-11-18T02:00:00+0000,SFTBY,IEXG
212,6.18,6.25,6.17,6.21,6.14,1358098.0,2020-11-18T02:00:00+0000,SMFG,IEXG
213,11.69,11.69,11.69,11.69,11.69,0.0,2020-11-18T02:00:00+0000,SMTOF,IEXG
214,90.24,90.7,89.5246,89.71,90.45,1751549.0,2020-11-18T02:00:00+0000,SNE,IEXG
215,142.82,143.48,142.0601,142.74,144.11,150337.0,2020-11-18T02:00:00+0000,TM,IEXG
216,90.14,90.66,89.57,89.85,90.45,69744.0,2020-11-17T20:00:00+0000,SNE,IEXG
217,6.17,6.255,6.17,6.23,6.14,9188.0,2020-11-17T19:00:00+0000,SMFG,IEXG
218,29.3,29.35,29.09,29.32,29.48,10087.0,2020-11-17T17:00:00+0000,HMC,IEXG
219,4.57,4.635,4.57,4.63,4.53,13946.0,2020-11-17T17:00:00+0000,MUFG,IEXG
220,90.14,90.66,89.57,89.8,90.45,55219.0,2020-11-17T17:00:00+0000,SNE,IEXG
221,6.17,6.215,6.17,6.2,6.14,6127.0,2020-11-17T16:00:00+0000,SMFG,IEXG
222,29.3,29.3,29.09,29.095,29.48,637.0,2020-11-17T15:00:00+0000,HMC,IEXG
223,90.14,90.14,89.69,89.74,90.45,2044.0,2020-11-17T15:00:00+0000,SNE,IEXG
224,142.99,143.19,142.59,142.66,144.11,725.0,2020-11-17T15:00:00+0000,TM,IEXG
225,18.48,18.63,18.41,18.52,17.99,496017.0,2020-11-17T02:00:00+0000,CAJ,IEXG
226,12.15,12.15,12.15,12.15,12.15,0.0,2020-11-17T02:00:00+0000,CHUEF,IEXG
227,29.25,29.5217,29.13,29.48,28.21,752959.0,2020-11-17T02:00:00+0000,HMC,IEXG
228,75.045,75.07,74.23,74.67,75.3,21550.0,2020-11-17T02:00:00+0000,HTHIY,IEXG
229,57.24,59.55,57.24,58.84,57.39,9541.0,2020-11-17T02:00:00+0000,MARUY,IEXG
230,2.78,2.8,2.74,2.75,2.7,364773.0,2020-11-17T02:00:00+0000,MFG,IEXG
231,4.49,4.558,4.465,4.53,4.34,2154228.0,2020-11-17T02:00:00+0000,MUFG,IEXG
232,10.35,10.7,10.35,10.68,10.2,322376.0,2020-11-17T02:00:00+0000,PCRFY,IEXG
233,32.11,32.99,32.11,32.39,31.82,224001.0,2020-11-17T02:00:00+0000,SFTBY,IEXG
234,77.4,78.48,77.14,78.2325,74.47,21583.0,2020-11-17T02:00:00+0000,TOELY,IEXG
235,6.12,6.17,6.1,6.14,5.96,1269691.0,2020-11-17T02:00:00+0000,SMFG,IEXG
236,11.69,11.69,11.69,11.69,11.69,30.0,2020-11-17T02:00:00+0000,SMTOF,IEXG
237,90.69,91.1,90.0501,90.45,89.72,1151140.0,2020-11-17T02:00:00+0000,SNE,IEXG
238,31.9662,31.9662,31.9662,31.9662,31.9662,0.0,2020-11-17T02:00:00+0000,TYHOF,IEXG
